major_id,name,domain,description,core_subjects,interests_keywords,skills,acquired_skills,career_paths,job_sectors,study_duration_years,min_highschool_gpa,track_requirement,,,,automation_risk_score,holy_quran,islamic_education,arabic_language,english_language,mathematics,physics,chemistry,biology
1,الاقتصاد,العلوم الاقتصادية,تخصص يدرس كيفية إدارة الموارد المحدودة وإنتاج وتوزيع السلع والخدمات وتحليل الظواهر الاقتصادية على المستوى الكلي والجزئي.,اقتصاد جزئي;اقتصاد كلي;اقتصاد قياسي;اقتصاديات التنمية;اقتصاديات النقود;التجارة الدولية,الأسواق;التحليل;السياسات;التمويل;الإحصاء,التحليل الكمي;التفكير النقدي;النمذجة الاقتصادية;التوقع والتنبؤ,تحليل البيانات الاقتصادية;إعداد التقارير;بناء النماذج;تحليل السياسات;التنبؤ الاقتصادي,خبير اقتصادي;محلل مالي;باحث اقتصادي;مستشار استثمار;أخصائي سياسات,البنوك;الوزارات;مراكز البحث;الشركات;المنظمات الدولية,4,80,جميع المسارات,,,,22,0,0,5,20,25,0,0,0
2,الإعلام,الإعلام والاتصال,تخصص يركز على دراسة وسائل الإعلام والاتصال الجماهيري وتأثيرها على المجتمع وتقنيات إنتاج المحتوى الإعلامي.,أخلاقيات الإعلام;الكتابة الإعلامية;الإعلام الرقمي;التصوير الصحفي;تحليل المحتوى;الإذاعة والتلفزيون,الكتابة;الاتصال;الإعلام;الإبداع;التحليل,الكتابة الإبداعية;التواصل;التحليل النقدي;العمل تحت الضغط,الكتابة الإعلامية;إنتاج المحتوى;التصوير;إدارة وسائل التواصل;تحرير الأخبار,صحفي;محرر;مراسل;منتج محتوى;إعلامي,الصحف;الإذاعة;التلفزيون;المواقع الإلكترونية;العلاقات العامة,4,70,جميع المسارات,,,,22,0,5,15,25,0,0,0,0
3,الإعلام والصحافة,الإعلام والاتصال,تخصص يركز على جمع وتحليل ونشر الأخبار والمعلومات عبر وسائل الإعلام المختلفة.,أخلاقيات الإعلام;الكتابة الصحفية;الإعلام الرقمي;التصوير الصحفي;تحليل المحتوى;الإذاعة والتلفزيون,الكتابة;الاتصال;الإعلام;الإبداع;التحليل,الكتابة الإبداعية;التواصل;التحليل النقدي;العمل تحت الضغط,الكتابة الصحفية;إنتاج المحتوى;التصوير;إدارة وسائل التواصل;تحرير الأخبار,صحفي;محرر;مراسل;منتج محتوى;إعلامي,الصحف;الإذاعة;التلفزيون;المواقع الإلكترونية;العلاقات العامة,4,70,جميع المسارات,,,,22,0,5,15,25,0,0,0,0
4,الأشعة والتصوير الطبي,الطب والعلوم الصحية,تخصص يركز على استخدام التقنيات الإشعاعية والتصوير لتشخيص الأمراض والإصابات ومراقبة العلاج.,فيزياء الأشعة;تقنيات التصوير;تشخيص الأشعة;السلامة الإشعاعية;تشريح الأشعة;أخلاقيات الأشعة,التصوير;التشخيص;التقنية;الدقة;الفيزياء,الدقة التقنية;التحليل البصري;السلامة;التعامل مع الأجهزة;التوثيق,تشغيل أجهزة التصوير;تحليل الصور;ضمان السلامة;مساعدة في التشخيص;الصيانة الأساسية,أخصائي أشعة;فني أشعة;مشرف أشعة;أخصائي تصوير;باحث في التصوير,المستشفيات;مراكز التصوير;العيادات;مراكز البحث;شركات الأجهزة الطبية,4,80,علمي,,,,37,5,5,5,10,10,20,15,20
5,التجارة الدولية,الأعمال والاقتصاد,تخصص يركز على دراسة العمليات التجارية بين الدول وإدارة العلاقات الاقتصادية الدولية والتبادل التجاري العالمي.,اقتصاديات التجارة;التمويل الدولي;التسويق العالمي;قانون التجارة;اللوجستيات الدولية;إدارة المخاطر,التجارة;الاقتصاد;العلاقات الدولية;الاستيراد والتصدير;الأسواق العالمية,التفكير الاستراتيجي;تحليل الأسواق;التفاوض;إتقان اللغات,إدارة العمليات التجارية;تحليل الأسواق الدولية;التفاوض التجاري;إدارة سلسلة التوريد;تحليل المخاطر,مدير تجارة دولية;أخصائي استيراد وتصدير;مستشار تجاري;محلل أسواق;مدير لوجستيات,شركات الاستيراد;البنوك;الغرف التجارية;الوزارات الحكومية;الشركات متعددة الجنسيات,4,70,جميع المسارات,,,,29,0,0,10,25,10,0,0,0
6,التسويق,الإدارة والأعمال,تخصص يركز على دراسة السوق وتطوير المنتجات ووضع الاستراتيجيات التسويقية لتحقيق أهداف المنظمة.,مبادئ التسويق;بحوث التسويق;التسويق الرقمي;سلوك المستهلك;إدارة العلامات التجارية;التسويق الدولي,الإبداع;الاتصال;التحليل;التسويق;المبيعات,التفكير الإبداعي;تحليل السوق;التواصل;التخطيط الاستراتيجي,إعداد خطط تسويقية;إدارة الحملات;تحليل بيانات السوق;التسويق الرقمي;إدارة العلامات التجارية,أخصائي تسويق;مدير تسويق;مسؤول مبيعات;أخصائي تسويق رقمي;باحث تسويقي,الشركات التجارية;الوكالات التسويقية;قطاع Retail;الشركات الناشئة;الاستشارات التسويقية,4,70,جميع المسارات,,,,37,0,0,10,25,10,0,0,0
7,التغذية العلاجية,الطب والعلوم الصحية,تخصص يجمع بين العلوم الغذائية والصحية لتخطيط برامج التغذية للوقاية من الأمراض وعلاجها.,علم التغذية;الكيمياء الحيوية;فسيولوجيا الغذاء;تغذية الأمراض;صحة المجتمع;تخطيط الوجبات,التغذية;الصحة;الغذاء;الوقاية;العلم,التخطيط;التقييم;التواصل;الإرشاد;المتابعة,تقييم الحالة الغذائية;تخطيط الوجبات;الإرشاد الغذائي;مراقبة التقدم;التثقيف الصحي,أخصائي تغذية;استشاري تغذية;باحث غذائي;أخصائي صحة مجتمع;مدير خدمات غذائية,المستشفيات;العيادات;مراكز اللياقة;شركات الغذاء;المؤسسات التعليمية,4,75,علمي,,,,29,5,5,5,10,5,0,15,35
8,التمريض,الطب والعلوم الصحية,تخصص يركز على رعاية المرضى وتقديم الدعم الصحي والمساهمة في الوقاية من الأمراض وتعزيز الصحة.,أساسيات التمريض;التمريض السريري;صحة المجتمع;علم الأدوية;علم الأمراض;الإسعافات,الرعاية;مساعدة الآخرين;الصحة;التعاطف;العمل الجماعي,التعاطف;الصبر;التواصل;العمل تحت الضغط;المرونة,رعاية المرضى;إعطاء الأدوية;الإسعافات الأولية;التثقيف الصحي;التوثيق الطبي,ممرض عام;ممرض تخصصي;مشرف تمريض;ممرض مجتمعي;مدرب تمريض,المستشفيات;العيادات;الرعاية المنزلية;المدارس;شركات التأمين,4,75,جميع المسارات,,,,45,5,5,5,10,5,0,10,35
9,التمويل والمصارف,الإدارة والأعمال,تخصص يركز على إدارة الأموال والاستثمارات وتحليل الأسواق المالية واتخاذ القرارات المالية.,الإدارة المالية;الاستثمار والأسواق المالية;التقنيات المالية;إدارة المخاطر;البنوك الإسلامية;التحليل المالي,الاستثمار;الأسواق;التحليل;المخاطر;الاقتصاد,التحليل المالي;اتخاذ القرارات;إدارة المخاطر;التفكير الاستراتيجي,تحليل الاستثمارات;إدارة المحافظ;تقييم المخاطر;التحليل المالي;التخطيط المالي,محلل مالي;مدير استثمار;أخصائي تمويل;مدير مخاطر;مسؤول بنكي,البنوك;شركات الاستثمار;القطاع المالي;شركات التأمين;الأسواق المالية,4,75,جميع المسارات,,,,22,0,0,5,20,25,0,0,0
10,الدراسات الإسلامية,العلوم الشرعية,تخصص يركز على دراسة العلوم الإسلامية الشاملة بما فيها القرآن والسنة والفقه والعقيدة والتاريخ الإسلامي.,علوم القرآن;علوم الحديث;الفقه الإسلامي;أصول الفقه;العقيدة الإسلامية;التاريخ الإسلامي,العلوم الشرعية;البحث الديني;الفقه;القرآن;الحديث,البحث العلمي;التحليل النصي;الفهم العميق;التواصل الفعال,تفسير النصوص الشرعية;الفتوى الشرعية;البحث العلمي الشرعي;التدريس الشرعي;الإرشاد الديني,باحث شرعي;مفتي;واعظ;مدرس علوم شرعية;إمام,المؤسسات الدينية;المدارس والجامعات;الإعلام الديني;المحاكم الشرعية;مراكز البحث,4,70,جميع المسارات,,,,45,30,40,10,10,0,0,0,0
11,الذكاء الاصطناعي,تكنولوجيا المعلومات,تخصص يركز على تطوير أنظمة ذكية قادرة على التعلم واتخاذ القرارات مثل البشر.,تعلم الآلة;الشبكات العصبية;معالجة اللغة الطبيعية;الرؤية الحاسوبية;الروبوتات;تحليل البيانات,الذكاء الاصطناعي;التعلم الآلي;البيانات;الابتكار;الخوارزميات,التحليل الإحصائي;البرمجة المتقدمة;التفكير المنطقي;حل المشكلات المعقدة,تطوير نماذج التعلم الآلي;تحليل البيانات الضخمة;برمجة الروبوتات;معالجة الصور واللغات;تصميم الأنظمة الذكية,باحث في الذكاء الاصطناعي;مهندس تعلم آلي;عالم بيانات;مطور روبوتات;أخصائي رؤية حاسوبية,شركات التكنولوجيا;المراكز البحثية;القطاع الصحي;السيارات الذكية;القطاع المالي,4,85,علمي,,,,50,0,0,5,15,40,15,0,0
12,الشريعة والقانون,العلوم الشرعية والقانونية,"تخصص يجمع بين دراسة الأحكام الشرعية الإسلامية والنظم القانونية الوضعية، بهدف تكوين فهم متكامل للنظم التشريعية.",أصول الفقه;الفقه المقارن;القانون الدستوري;القانون المدني;القانون الجنائي;النظم القانونية,العدالة;القانون;الشريعة;التحليل;النقاش,التحليل المنطقي;التفكير النقدي;الحجاج والمناظرة;البحث العلمي,تفسير النصوص القانونية;صياغة الوثائق القانونية;التحقيق في القضايا;الترافع أمام المحاكم;الاستشارة القانونية,محامي;قاضي;مستشار قانوني;باحث قانوني;محقق قضائي,المحاكم;مكاتب المحاماة;الجهات الحكومية;القطاع المصرفي;الاستشارات القانونية,4,70,جميع المسارات,,,,45,20,30,10,20,0,0,0,0
13,الصحة العامة,العلوم الصحية,تخصص يركز على تحسين صحة المجتمع ومنع الأمراض من خلال برامج التوعية والسياسات الصحية والبحوث الوبائية.,علم الأوبئة;الإحصاء الحيوي;التخطيط الصحي;الصحة البيئية;التغذية المجتمعية;إدارة الخدمات الصحية,الصحة;المجتمع;الوقاية;البحث;التوعية,التحليل الإحصائي;التخطيط الاستراتيجي;التواصل المجتمعي;إدارة المشاريع,تحليل البيانات الصحية;تخطيط البرامج الوقائية;إعداد الدراسات الوبائية;إدارة الحملات التوعوية;تقييم الاحتياجات الصحية,أخصائي صحة عامة;باحث وبائيات;مدير برامج صحية;استشاري صحة مجتمع;منسق صحي,وزارة الصحة;المستشفيات;المنظمات الدولية;مراكز البحث;الجمعيات الصحية,4,75,جميع المسارات,,,,37,5,10,5,15,10,0,10,15
